"Plugin","Plugin Name","Family","Severity","IP Address","Protocol","Port","MAC Address","DNS Name","NetBIOS Name","Plugin Output","Synopsis","Description","Steps to Remediate","CVSS V2 Base Score","CVSS V3 Base Score","CVE","Cross References","First Discovered","Last Observed","Vuln Publication Date","Patch Publication Date"
"10180","Ping the remote host","Port scanners","Info","10.234.111.26","TCP","0","","","","Plugin Output: The remote host (10.234.111.26) is considered as dead - not scanning
The remote host (10.234.111.26) did not respond to the following ping methods :
- TCP ping
- ICMP ping","It was possible to identify the status of the remote host (alive or dead).","Nessus was able to determine if the remote host is alive using one or more of the following ping types :

  - An ARP ping, provided the host is on the local subnet     and Nessus is running over Ethernet.

  - An ICMP ping.

  - A TCP ping, in which the plugin sends to the remote host     a packet with the flag SYN, and the host will reply with     a RST or a SYN/ACK.

  - A UDP ping (e.g., DNS, RPC, and NTP).","","","","","","Jun 23, 2019 17:44:49 EDT","Mar 23, 2025 18:16:56 EDT","N/A","N/A"
"10180","Ping the remote host","Port scanners","Info","10.236.3.95","TCP","0","","","","Plugin Output: The remote host (10.236.3.95) is considered as dead - not scanning
The remote host (10.236.3.95) did not respond to the following ping methods :
- TCP ping
- ICMP ping","It was possible to identify the status of the remote host (alive or dead).","Nessus was able to determine if the remote host is alive using one or more of the following ping types :

  - An ARP ping, provided the host is on the local subnet     and Nessus is running over Ethernet.

  - An ICMP ping.

  - A TCP ping, in which the plugin sends to the remote host     a packet with the flag SYN, and the host will reply with     a RST or a SYN/ACK.

  - A UDP ping (e.g., DNS, RPC, and NTP).","","","","","","Jun 23, 2019 17:44:49 EDT","Mar 23, 2025 18:16:56 EDT","N/A","N/A"
"10180","Ping the remote host","Port scanners","Info","159.142.8.140","TCP","0","","","","Plugin Output: The remote host (159.142.8.140) is considered as dead - not scanning
The remote host (159.142.8.140) did not respond to the following ping methods :
- TCP ping
- ICMP ping","It was possible to identify the status of the remote host (alive or dead).","Nessus was able to determine if the remote host is alive using one or more of the following ping types :

  - An ARP ping, provided the host is on the local subnet     and Nessus is running over Ethernet.

  - An ICMP ping.

  - A TCP ping, in which the plugin sends to the remote host     a packet with the flag SYN, and the host will reply with     a RST or a SYN/ACK.

  - A UDP ping (e.g., DNS, RPC, and NTP).","","","","","","Jul 21, 2024 17:43:21 EDT","Mar 23, 2025 18:16:56 EDT","N/A","N/A"
"10180","Ping the remote host","Port scanners","Info","159.142.52.6","TCP","0","","","","Plugin Output: The remote host (159.142.52.6) is considered as dead - not scanning
The remote host (159.142.52.6) did not respond to the following ping methods :
- TCP ping
- ICMP ping","It was possible to identify the status of the remote host (alive or dead).","Nessus was able to determine if the remote host is alive using one or more of the following ping types :

  - An ARP ping, provided the host is on the local subnet     and Nessus is running over Ethernet.

  - An ICMP ping.

  - A TCP ping, in which the plugin sends to the remote host     a packet with the flag SYN, and the host will reply with     a RST or a SYN/ACK.

  - A UDP ping (e.g., DNS, RPC, and NTP).","","","","","","Oct 15, 2023 19:13:50 EDT","Mar 23, 2025 18:16:56 EDT","N/A","N/A"
"10092","FTP Server Detection","Service detection","Info","159.142.67.41","TCP","21","","e04tcm-vtcmgt.ent.ds.gsa.gov","ent.ds.gsa.gov\E04TCM-VTCMGT","Plugin Output: 
The remote FTP banner is :

220 Service ready for new user.","An FTP server is listening on a remote port.","It is possible to obtain the banner of the remote FTP server by connecting to a remote port.","","","","","IAVT #0001-T-0030,IAVT #0001-T-0943","Mar 28, 2025 03:15:54 EDT","Mar 28, 2025 04:07:35 EDT","N/A","N/A"
"10107","HTTP Server Type and Version","Web Servers","Info","159.142.67.41","TCP","80","","e04tcm-vtcmgt.ent.ds.gsa.gov","ent.ds.gsa.gov\E04TCM-VTCMGT","Plugin Output: The remote web server type is :

Microsoft-HTTPAPI/2.0","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the   remote web server.","","","","","IAVT #0001-T-0931","Mar 28, 2025 03:15:54 EDT","Mar 28, 2025 04:07:35 EDT","N/A","N/A"
"10107","HTTP Server Type and Version","Web Servers","Info","159.142.67.41","TCP","443","","e04tcm-vtcmgt.ent.ds.gsa.gov","ent.ds.gsa.gov\E04TCM-VTCMGT","Plugin Output: The remote web server type is :

Microsoft-IIS/10.0","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the   remote web server.","","","","","IAVT #0001-T-0931","Mar 28, 2025 03:15:54 EDT","Mar 28, 2025 04:07:35 EDT","N/A","N/A"
"10107","HTTP Server Type and Version","Web Servers","Info","159.142.67.41","TCP","4320","","e04tcm-vtcmgt.ent.ds.gsa.gov","ent.ds.gsa.gov\E04TCM-VTCMGT","Plugin Output: The remote web server type is :

Media Manager mobile list server","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the   remote web server.","","","","","IAVT #0001-T-0931","May 29, 2024 04:01:25 EDT","Mar 23, 2025 05:34:48 EDT","N/A","N/A"
"10107","HTTP Server Type and Version","Web Servers","Info","159.142.67.41","TCP","8080","","e04tcm-vtcmgt.ent.ds.gsa.gov","ent.ds.gsa.gov\E04TCM-VTCMGT","Plugin Output: The remote web server type is :

Microsoft-IIS/10.0","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the   remote web server.","","","","","IAVT #0001-T-0931","Mar 28, 2025 03:15:54 EDT","Mar 28, 2025 04:07:35 EDT","N/A","N/A"
"10107","HTTP Server Type and Version","Web Servers","Info","159.142.67.41","TCP","8081","","e04tcm-vtcmgt.ent.ds.gsa.gov","ent.ds.gsa.gov\E04TCM-VTCMGT","Plugin Output: The remote web server type is :

Jetty(9.4.48.v20220622)","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the   remote web server.","","","","","IAVT #0001-T-0931","Mar 28, 2025 03:15:54 EDT","Mar 28, 2025 04:07:35 EDT","N/A","N/A"
